,Внешний код товара алсер,section,colum_last,column_0,column_1,column_2,column_3,column_4
0,1299850,"['Главная', 'Тв, аудио, видео', 'Аудиотехника', 'Наушники и гарнитура', 'Вставные наушники', 'Наушники ACME HE17Y желтый', '']",Вставные наушники,Главная,"Тв, аудио, видео",Аудиотехника,Наушники и гарнитура,Вставные наушники
1,1299857,,,,,,,
2,1299885,,,,,,,
3,1298136,,,,,,,
4,1298028,,,,,,,
5,1298029,,,,,,,
6,1291630,,,,,,,
7,1242524,,,,,,,
8,1251164,,,,,,,
9,1294394,,,,,,,
10,1299033,,,,,,,
11,1298361,"['Главная', 'Бытовая техника', 'Для кухни', 'Электрочайники', 'Чайник Redmond RK-M158 черный', '']",Электрочайники,Главная,Бытовая техника,Для кухни,Электрочайники,
12,1298362,"['Главная', 'Бытовая техника', 'Для кухни', 'Электрочайники', 'Чайник Redmond RK-M1582 золотистый', '']",Электрочайники,Главная,Бытовая техника,Для кухни,Электрочайники,
13,1298438,,,,,,,
14,1298442,,,,,,,
15,1298744,,,,,,,
16,1281074,"['Главная', 'Тв, аудио, видео', 'Видеотехника', 'Проекционное оборудование', 'Проекторы', 'Проектор OPTOMA X308STe DLP', '']",Проекторы,Главная,"Тв, аудио, видео",Видеотехника,Проекционное оборудование,Проекторы
17,1293977,,,,,,,
18,1270570,"['Главная', 'Смартфоны и планшеты', 'Умные часы и аксессуары', 'Smart часы', 'Смарт-часы FENIX 5X PLUS SAPPHIRE черные с черным ремешком', '']",Smart часы,Главная,Смартфоны и планшеты,Умные часы и аксессуары,Smart часы,
19,1299881,"['Главная', 'Смартфоны и планшеты', 'Аксессуары для смартфонов', 'Кабели для смартфонов', 'Кабель ACME CB2041G USB type-C cable, 1m Grey', '']",Кабели для смартфонов,Главная,Смартфоны и планшеты,Аксессуары для смартфонов,Кабели для смартфонов,
20,1299882,"['Главная', 'Смартфоны и планшеты', 'Аксессуары для смартфонов', 'Кабели для смартфонов', 'Кабель ACME CB2041S USB type-C cable, 1m Silver', '']",Кабели для смартфонов,Главная,Смартфоны и планшеты,Аксессуары для смартфонов,Кабели для смартфонов,
21,1299836,,,,,,,
22,1299837,"['Главная', 'Все для геймеров', 'Игровые манипуляторы и аксессуары', 'Игровые гарнитуры', 'Наушники Acme Aula Succubus', '']",Игровые гарнитуры,Главная,Все для геймеров,Игровые манипуляторы и аксессуары,Игровые гарнитуры,
23,1299838,,,,,,,
24,1299839,,,,,,,
25,1299840,,,,,,,
26,1299841,"['Главная', 'Тв, аудио, видео', 'Аудиотехника', 'Наушники и гарнитура', 'Вставные наушники', 'Наушники ACME HE15Y желтый', '']",Вставные наушники,Главная,"Тв, аудио, видео",Аудиотехника,Наушники и гарнитура,Вставные наушники
27,1299842,,,,,,,
28,1299843,"['Главная', 'Оргтехника и сетевое оборудование', 'Элементы питания', 'Батарейки', 'Батарейка алкалиновая ACME LR03 Alkaline Batteries AAA/6pcs', '']",Батарейки,Главная,Оргтехника и сетевое оборудование,Элементы питания,Батарейки,
29,1299845,"['Главная', 'Смартфоны и планшеты', 'Аксессуары для смартфонов', 'Держатели для смартфонов', 'Автомобильный держатель для смартфона ACME MH11', '']",Держатели для смартфонов,Главная,Смартфоны и планшеты,Аксессуары для смартфонов,Держатели для смартфонов,
30,1299846,"['Главная', 'Все для геймеров', 'Игровые манипуляторы и аксессуары', 'Игровые гарнитуры', 'Наушники Acme Aula LB01', '']",Игровые гарнитуры,Главная,Все для геймеров,Игровые манипуляторы и аксессуары,Игровые гарнитуры,
31,1299847,,,,,,,
32,1299848,,,,,,,
33,1299849,,,,,,,
34,1299851,,,,,,,
35,1299852,,,,,,,
36,1299853,,,,,,,
37,1299854,,,,,,,
38,1299855,,,,,,,
39,1299856,"['Главная', 'Тв, аудио, видео', 'Аудиотехника', 'Наушники и гарнитура', 'Вставные наушники', 'Наушники ACME HE13 черный', '']",Вставные наушники,Главная,"Тв, аудио, видео",Аудиотехника,Наушники и гарнитура,Вставные наушники
40,1299858,,,,,,,
41,1299859,,,,,,,
42,1299863,"['Главная', 'Смартфоны и планшеты', 'Аксессуары для смартфонов', 'Кабели для смартфонов', 'Кабель ACME CB1011 micro USB cable, 1m Black', '']",Кабели для смартфонов,Главная,Смартфоны и планшеты,Аксессуары для смартфонов,Кабели для смартфонов,
