,Внешний код товара алсер,section,colum_last,column_0,column_1,column_2,column_3,column_4
0,1091915,,,,,,,
1,1220880,,,,,,,
2,1223964,,,,,,,
3,1236718,,,,,,,
4,1240086,,,,,,,
5,1250146,,,,,,,
6,1250512,,,,,,,
7,1254078,,,,,,,
8,1255800,,,,,,,
9,1258821,"['Главная', 'Смартфоны и планшеты', 'Стационарные телефоны', 'Беспроводные', 'Беспроводной телефон Panasonic KX-TGP600RUB SIP-DECT', '']",Беспроводные,Главная,Смартфоны и планшеты,Стационарные телефоны,Беспроводные,
10,1259176,,,,,,,
11,1259233,,,,,,,
12,1259424,,,,,,,
13,1259780,,,,,,,
14,1259841,,,,,,,
15,1261877,"['Главная', 'Смартфоны и планшеты', 'Стационарные телефоны', 'Проводные', 'Проводной телефон Panasonic KX-TS2352', '']",Проводные,Главная,Смартфоны и планшеты,Стационарные телефоны,Проводные,
16,1261946,,,,,,,
17,1262034,,,,,,,
18,1262038,,,,,,,
19,1262069,,,,,,,
20,1262129,,,,,,,
21,1262152,,,,,,,
22,1262242,,,,,,,
23,1262251,,,,,,,
24,1262333,"['Главная', 'Ноутбуки, компьютеры, периферия', 'Манипуляторы', 'Клавиатуры', 'Клавиатура и мышь RITMIX RKC-010, черный', '']",Клавиатуры,Главная,"Ноутбуки, компьютеры, периферия",Манипуляторы,Клавиатуры,
25,1262426,,,,,,,
26,1262451,,,,,,,
27,1264053,,,,,,,
28,1265217,,,,,,,
29,1265218,,,,,,,
30,1265305,"['Главная', 'Ноутбуки, компьютеры, периферия', 'Аксессуары для ПК', 'Аккумуляторы для ноутбуков', 'Аккумулятор PowerPlant X57F1 для Dell Latitude E6420 (11.1V/7800mAh/9 Cells) (NB00000243)', '']",Аккумуляторы для ноутбуков,Главная,"Ноутбуки, компьютеры, периферия",Аксессуары для ПК,Аккумуляторы для ноутбуков,
31,1265635,,,,,,,
32,1266066,,,,,,,
33,1270609,"['Главная', 'Смартфоны и планшеты', 'Аксессуары для смартфонов', 'Зарядные устройства', 'Сетевое зарядное устройство Continent QN18-181WT', '']",Зарядные устройства,Главная,Смартфоны и планшеты,Аксессуары для смартфонов,Зарядные устройства,
34,1275652,,,,,,,
35,1276753,,,,,,,
36,1281115,,,,,,,
37,1215907,"['Главная', 'Бытовая техника', 'Для дома', 'Пылесосы', 'Пылесос Samsung VCC-4520 S3B/XEV, синий', '']",Пылесосы,Главная,Бытовая техника,Для дома,Пылесосы,
38,1229323,,,,,,,
39,1230951,,,,,,,
40,1244733,,,,,,,
41,1245818,,,,,,,
42,1249674,,,,,,,
43,1251265,,,,,,,
44,1260990,,,,,,,
45,1279394,,,,,,,
46,1281181,,,,,,,
47,1288450,,,,,,,
48,1293313,"['Главная', 'Встраиваемая и климатическая техника', 'Климатическая техника', 'Подогрев воды', 'Бойлеры', 'Бойлер Ariston PRO1 R 80 V 1,8K PL EU', '']",Бойлеры,Главная,Встраиваемая и климатическая техника,Климатическая техника,Подогрев воды,Бойлеры
49,1274580,"['Главная', 'Смартфоны и планшеты', 'Умные часы и аксессуары', 'Smart часы', 'Смарт-часы Apple Watch Series 4 GPS 44mm Space Grey (MU6E2GK/A)', '']",Smart часы,Главная,Смартфоны и планшеты,Умные часы и аксессуары,Smart часы,
50,1293126,,,,,,,
51,1219012,,,,,,,
52,1241123,,,,,,,
53,1242524,,,,,,,
54,1243584,,,,,,,
55,1251164,,,,,,,
56,1252905,,,,,,,
57,1258068,,,,,,,
58,1275884,,,,,,,
59,1288481,,,,,,,
60,1292827,,,,,,,
61,1288455,"['Главная', 'Встраиваемая и климатическая техника', 'Климатическая техника', 'Подогрев воды', 'Водонагреватели', 'Водонагреватель Oasis VL-80L', '']",Водонагреватели,Главная,Встраиваемая и климатическая техника,Климатическая техника,Подогрев воды,Водонагреватели
62,1292847,,,,,,,
63,1292846,,,,,,,
64,1275520,,,,,,,
65,1233049,"['Главная', 'Оргтехника и сетевое оборудование', 'Сетевое оборудование', 'Трансивер', 'Трансивер D-Link DEM-330R', '']",Трансивер,Главная,Оргтехника и сетевое оборудование,Сетевое оборудование,Трансивер,
66,1261978,,,,,,,
67,1262303,,,,,,,
68,1262304,,,,,,,
69,1262305,,,,,,,
70,1262306,,,,,,,
71,1262307,,,,,,,
72,1262308,,,,,,,
73,1264091,,,,,,,
74,1264851,,,,,,,
75,1276864,"['Главная', 'Ноутбуки, компьютеры, периферия', 'Моноблоки', 'Моноблок Lenovo V530-22ICB', '']",Моноблоки,Главная,"Ноутбуки, компьютеры, периферия",Моноблоки,,
76,1281103,,,,,,,
77,1281104,,,,,,,
78,1282507,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Чернила для принтера', 'Чернила водорастворимые Epson T6644', '']",Чернила для принтера,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Чернила для принтера,
79,1282512,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Чернила для принтера', 'Чернила водорастворимые Epson T6734', '']",Чернила для принтера,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Чернила для принтера,
80,1282515,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Чернила для принтера', 'Контейнер с чернилами Epson C13T67314A', '']",Чернила для принтера,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Чернила для принтера,
81,1282543,,,,,,,
82,1282581,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Картриджи струйные', 'Картридж струйный HP 727 B3P21A', '']",Картриджи струйные,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Картриджи струйные,
83,1283494,"['Главная', 'Ноутбуки, компьютеры, периферия', 'Комплектующие', 'Блоки питания', 'Блок питания, Aerocool, VX-500 PLUS, 500W, ATX, (230V None-PFC), 204 pin, 44pin, 3*Sata, 3*Molex,', '']",Блоки питания,Главная,"Ноутбуки, компьютеры, периферия",Комплектующие,Блоки питания,
84,1286450,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Картриджи лазерные', 'Картридж NVP совместимый HP CF226A', '']",Картриджи лазерные,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Картриджи лазерные,
85,1286483,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Картриджи лазерные', 'Картридж NVP совместимый NV-CF217A', '']",Картриджи лазерные,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Картриджи лазерные,
86,1291547,,,,,,,
87,1292623,,,,,,,
88,1296769,"['Главная', 'Смартфоны и планшеты', 'Кнопочные телефоны', 'Мобильный телефон BQ-2831 Step XL Красный', '']",Кнопочные телефоны,Главная,Смартфоны и планшеты,Кнопочные телефоны,,
89,1296789,,,,,,,
90,1296790,,,,,,,
91,1296803,"['Главная', 'Смартфоны и планшеты', 'Кнопочные телефоны', 'Мобильный телефон BQ-2428 Tank Green', '']",Кнопочные телефоны,Главная,Смартфоны и планшеты,Кнопочные телефоны,,
92,1296963,"['Главная', 'Смартфоны и планшеты', 'Кнопочные телефоны', 'Мобильный телефон BQ-2831 Step XL Gray', '']",Кнопочные телефоны,Главная,Смартфоны и планшеты,Кнопочные телефоны,,
93,1297053,"['Главная', 'Смартфоны и планшеты', 'Планшеты', 'Все планшеты', 'Планшет BQ-8067L LTE Hornet Plus black', '']",Все планшеты,Главная,Смартфоны и планшеты,Планшеты,Все планшеты,
94,1297125,"['Главная', 'Оргтехника и сетевое оборудование', 'Расходные материалы', 'Комплектующие', 'Термопленка KX-FA55A7  (2 х 50 м)', '']",Комплектующие,Главная,Оргтехника и сетевое оборудование,Расходные материалы,Комплектующие,
95,1297397,,,,,,,
96,1297399,,,,,,,
97,1297795,"['Главная', 'Смартфоны и планшеты', 'Планшеты', 'Все планшеты', 'Планшет BQ-7083G green', '']",Все планшеты,Главная,Смартфоны и планшеты,Планшеты,Все планшеты,
98,1297798,"['Главная', 'Смартфоны и планшеты', 'Кнопочные телефоны', 'Мобильный телефон BQ-1842 Tank mini Black', '']",Кнопочные телефоны,Главная,Смартфоны и планшеты,Кнопочные телефоны,,
99,1297803,"['Главная', 'Смартфоны и планшеты', 'Кнопочные телефоны', 'Мобильный телефон BQ-1807 Step зеленый', '']",Кнопочные телефоны,Главная,Смартфоны и планшеты,Кнопочные телефоны,,
100,1297809,"['Главная', 'Смартфоны и планшеты', 'Планшеты', 'Все планшеты', 'Планшет BQ-7083G Light Blue 3', '']",Все планшеты,Главная,Смартфоны и планшеты,Планшеты,Все планшеты,
101,1297819,"['Главная', 'Смартфоны и планшеты', 'Кнопочные телефоны', 'Мобильный телефон BQ-1807 Step красный', '']",Кнопочные телефоны,Главная,Смартфоны и планшеты,Кнопочные телефоны,,
