,GOROD_RU,GOROD_EN,REGION1_RU,REGION1_EN,REGION2_RU,REGION2_EN,COUNTRY,ZIP_CODE,POPULATION_GROUP1,POPULATION_GROUP2,POPULATION_GROUP3
0,Бородулиха,Borodulikha,Бородулихский РУПС,Borodulikha district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070400,Село_адм_центр,Village,Village
1,Луговой,Lugovoy,Т.Рыскулова РУПС,T. Рyskulova region,Жамбылская область,Zhambyl,Казахстан (KZ),080913,Село_не_адм_центр,Village,Village
2,Есиль,Esil,Есильский РУПС,Esil district,Акмолинская область,Akmola,Казахстан (KZ),020900,Город_уровня_4,Small_city,Small_city
3,Державинск,Derzhavinsk,Жаркаинский РУПС,Zharkain district,Акмолинская область,Akmola,Казахстан (KZ),021100,Город_уровня_4,Small_city,Small_city
4,Батамша,Batamsha,Каргалинский РУПС,Kargaly district,Актюбинская область,Aktobe,Казахстан (KZ),030500,Село_адм_центр,Village,Village
5,Актюбинск,Aktyubinsk,Актюбинский ОФ,Aktobe region,Актюбинская область,Aktobe,Казахстан (KZ),030004,Город_уровня_2,Medium_city,Small_city
6,Новоалексеевка,Novoalekseevka,Хобдинсий РУПС,Kobda district,Актюбинская область,Aktobe,Казахстан (KZ),031000,Село_адм_центр,Village,Village
7,Таскала,Taskala,Таскалинский РУПС,Taskala district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),091000,Село_адм_центр,Village,Village
8,Булаево,Bulaevo,М.Жумабаева РУПС,M. Zhumabaeva region,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150800,Город_уровня_4,Small_city,Small_city
9,Доссор,Dossor,Макатский РУПС,Makat district,Атырауская область,Atyrau,Казахстан (KZ),060603,Село_не_адм_центр,Village,Village
10,Жаныбек,Zhanybek,Джаныбекский РУПС,Zhanybek district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090500,Село_адм_центр,Village,Village
11,Казалинск,Kazalinsk,Новоказалинский РУПС,Novokazaly district,Кызылординская область,Kyzylorda,Казахстан (KZ),120409,Город_уровня_4,Small_city,Small_city
12,Ащибулак,Ashchibulak,Илийский РУПС,Ile district,Алматинская область,Almaty region,Казахстан (KZ),040702,Село_не_адм_центр,Village,Village
13,Саксаульск,Saksaulsk,Аральский РУПС,Aral district,Кызылординская область,Kyzylorda,Казахстан (KZ),120116,Село_не_адм_центр,Village,Village
14,Райымбек,Raiymbek,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),040923,Село_не_адм_центр,Village,Village
15,Туздыбастау,Tuzdybastau,Талгарский РУПС,Talgar district,Алматинская область,Almaty region,Казахстан (KZ),041626,Село_не_адм_центр,Village,Village
16,Уил,Uil,Уилский РУПС,Oiyl district,Актюбинская область,Aktobe,Казахстан (KZ),030900,Село_адм_центр,Village,Village
17,Каражал,Karazhal,Каражалский ГУПС,Karazhalsky region,Карагандинская область,Karagandy,Казахстан (KZ),100700,Город_уровня_3,Small_city,Small_city
18,Ботакара,Botakara,Бухар-Жырауский РУПС,Bukhar-Zhyrau district,Карагандинская область,Karagandy,Казахстан (KZ),100400,Село_адм_центр,Village,Village
